Below is a **complete test‑case suite** that is derived **only** from the SRS you supplied.  
Every functional requirement (Req‑1 … Req‑16), every business rule (BR‑1 … BR‑10), every use‑case (UC‑01 … UC‑14) and the key non‑functional constraints (performance, security, usability, availability, backup, etc.) are covered.  

The test cases are written in the exact format you requested.  
Only the information that appears in the SRS is used – no assumptions about the implementation are made.

---

### 1.  Use‑Case Test Cases (UC‑01 – UC‑14)

| TC‑ID | Title | Requirement | Preconditions | Test Steps | Expected Result | Test Type |
|-------|-------|-------------|----------------|-----------|-----------------|-----------|
| TC‑SRS‑001 | Register Patient – successful registration | UC‑01 | • System is set‑up and running  <br>• Patient has internet access and a web browser | 1. Open the Virtual Clinic URL  <br>2. Click **Register**  <br>3. Fill all mandatory fields (name, DOB, gender, address, phone, email, password)  <br>4. Submit | Patient receives a confirmation screen and a unique Patient‑ID is generated; the patient can now log in | Functional |
| TC‑SRS‑002 | Register Patient – missing mandatory field | UC‑01 | System is running | 1. Open registration page  <br>2. Leave **Email** blank, fill other fields  <br>3. Submit | Error message (≤ 80 chars) appears at bottom: “Email is required.” Registration does **not** succeed | Negative |
| TC‑SRS‑003 | Register Patient – duplicate email | UC‑01 | • A patient with email **john@example.com** already registered | 1. Attempt to register a new patient using the same email  <br>2. Submit | Error message: “Email already in use.” No new Patient‑ID generated | Negative |
| TC‑SRS‑004 | Add Speciality – admin adds new unique speciality | UC‑02 | • Admin is logged in  <br>• System is running | 1. Navigate to **Maintain Specialities**  <br>2. Click **Add**, enter “Dermatology”, save | New speciality “Dermatology” appears in the list; can be selected when adding doctors | Functional |
| TC‑SRS‑005 | Add Speciality – duplicate speciality name | UC‑02 | Admin logged in; “Cardiology” already exists | 1. Try to add “Cardiology” again  <br>2. Save | Error message: “Speciality already exists.” No duplicate created | Negative |
| TC‑SRS‑006 | Edit Speciality – change description | UC‑02 | Admin logged in; at least one speciality exists | 1. Select a speciality  <br>2. Click **Edit**, modify description, Save | Updated description is persisted; list reflects change | Functional |
| TC‑SRS‑007 | Delete Speciality – allowed when no doctors attached | UC‑02 | Admin logged in; Speciality “Orthopedics” exists with **no** doctors linked | 1. Select “Orthopedics”, click **Delete**, confirm | Speciality removed from system; no error shown | Functional |
| TC‑SRS‑008 | Delete Speciality – prevented when doctors attached | UC‑02 | Admin logged in; Speciality “Pediatrics” has at least one doctor linked | 1. Attempt to delete “Pediatrics” | Error message: “Cannot delete speciality with linked doctors.” Speciality remains | Negative |
| TC‑SRS‑009 | Add Doctor – successful | UC‑03 | Admin logged in; at least one speciality exists | 1. Navigate to **Maintain Doctors**  <br>2. Click **Add**, fill Name, Age, Sex, Qualification, Experience, select a speciality, Save | New doctor appears in doctor list; unique Doctor‑ID generated | Functional |
| TC‑SRS‑010 | Add Doctor – duplicate name & qualification (allowed) | UC‑03 | Admin logged in | 1. Add a doctor with same name as existing but different qualification  <br>2. Save | Doctor is added because uniqueness is not defined on name; system assigns new Doctor‑ID | Functional |
